source,target,source_type,target_type
PP,VOX,Organization,Organization
PP,plaza de Colón,Organization,Place
PP,Madrid,Organization,Place
PP,Ángel Gabilondo,Organization,Person
VOX,Colón,Organization,Place
VOX,PP,Organization,Organization
VOX,plaza de Colón,Organization,Place
VOX,Madrid,Organization,Place
VOX,Ángel Gabilondo,Organization,Person
plaza de Colón,Colón,Place,Place
plaza de Colón,PP,Place,Organization
plaza de Colón,VOX,Place,Organization
plaza de Colón,Madrid,Place,Place
plaza de Colón,Ángel Gabilondo,Place,Person
Madrid,Colón,Place,Place
Madrid,PP,Place,Organization
Madrid,VOX,Place,Organization
Madrid,plaza de Colón,Place,Place
Madrid,Ángel Gabilondo,Place,Person
Ángel Gabilondo,Colón,Person,Place
Ángel Gabilondo,PP,Person,Organization
Ángel Gabilondo,VOX,Person,Organization
Ángel Gabilondo,plaza de Colón,Person,Place
Ángel Gabilondo,Madrid,Person,Place
UE,EE.UU,Organization,Place
EE.UU,UE,Place,Organization
UE,Certificado Verde Digital,Organization,Other
Certificado Verde Digital,UE,Other,Organization
Jorge Martínez Reverte,Guerra Civil,Person,Other
Guerra Civil,Jorge Martínez Reverte,Other,Person
España,Europa,Place,Place
Europa,España,Place,Place
PP,PP,Organization,Organization
PP,PP,Organization,Organization
Renault,España,Organization,Place
España,Renault,Place,Organization
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Madrid,Ángel Gabilondo,Place,Person
Ángel Gabilondo,Madrid,Person,Place
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
PP de Casado,Partido Popular,Organization,Organization
Partido Popular,PP de Casado,Organization,Organization
Francia,Convenio de Doble Nacionalidad,Place,Organization
Francia,Montauban,Place,Place
Convenio de Doble Nacionalidad,Francia,Organization,Place
Convenio de Doble Nacionalidad,Montauban,Organization,Place
Montauban,Francia,Place,Place
Montauban,Convenio de Doble Nacionalidad,Place,Organization
Madrid,Día Europeo de las Víctimas del Terrorismo,Place,Other
Día Europeo de las Víctimas del Terrorismo,Madrid,Other,Place
ERTE,Gobierno,Organization,Organization
ERTE,PP,Organization,Organization
Gobierno,ERTE,Organization,Organization
Gobierno,PP,Organization,Organization
PP,ERTE,Organization,Organization
PP,Gobierno,Organization,Organization
ELA,Carlos Matallanas,Organization,Person
Carlos Matallanas,ELA,Person,Organization
Martorell,España,Place,Place
España,Martorell,Place,Place
María Domínguez,España,Person,Place
María Domínguez,Fuendejalón,Person,Place
España,María Domínguez,Place,Person
España,Fuendejalón,Place,Place
Fuendejalón,María Domínguez,Place,Person
Fuendejalón,España,Place,Place
Barcelona,Guardia Urbana,Place,Organization
Barcelona,Mossos,Place,Organization
Guardia Urbana,Barcelona,Organization,Place
Guardia Urbana,Mossos,Organization,Organization
Mossos,Barcelona,Organization,Place
Mossos,Guardia Urbana,Organization,Organization
PP,CGPJ,Organization,Organization
PP,TC,Organization,Organization
PP,España,Organization,Place
CGPJ,PP,Organization,Organization
CGPJ,TC,Organization,Organization
CGPJ,España,Organization,Place
TC,PP,Organization,Organization
TC,CGPJ,Organization,Organization
TC,España,Organization,Place
España,PP,Place,Organization
España,CGPJ,Place,Organization
España,TC,Place,Organization
Costa Rica,España,Place,Place
España,Costa Rica,Place,Place
España,ACB,Place,Organization
España,Pau,Place,Person
ACB,España,Organization,Place
ACB,Pau,Organization,Person
Pau,España,Person,Place
Pau,ACB,Person,Organization
Gobierno de coalición,España,Organization,Place
España,Gobierno de coalición,Place,Organization
Navarra,Gipuzkoa,Place,Place
Navarra,Francia,Place,Place
Gipuzkoa,Navarra,Place,Place
Gipuzkoa,Francia,Place,Place
Francia,Navarra,Place,Place
Francia,Gipuzkoa,Place,Place
Extremadura,España,Place,Place
España,Extremadura,Place,Place
Extremadura,PGE,Place,Organization
Extremadura,Alta Velocidad Madrid - Extremadura,Place,Place
PGE,Extremadura,Organization,Place
PGE,Alta Velocidad Madrid - Extremadura,Organization,Place
Alta Velocidad Madrid - Extremadura,Extremadura,Place,Place
Alta Velocidad Madrid - Extremadura,PGE,Place,Organization
Marte,España,Place,Place
España,Marte,Place,Place
PP,Cs,Organization,Organization
Cs,PP,Organization,Organization
G5 Sahel,España,Organization,Place
